;brouette;;;;;;;brouette (1);;;;;;;brouette (2);;;;;;;brouette (3);;;;;;;brouette (4);;;;;;;brouette (5);;;;;;;brouette (6);;;;;;;Cibles non appariées - Cible 1;;;;Cibles non appariées - Cible 2;;;;Cibles non appariées - Cible 3;;;;Cibles non appariées - Cible 4;;;;Cibles non appariées - Cible 5;;;;Cibles non appariées - Cible 6;;;
;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected
1,207000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,273933;-33,469360;2436,052246;1;-62,992985;-22,276585;2433,260986;1;-89,240074;-4,189820;2493,483398;1;-97,425606;-4,106466;2436,104004;1;-76,578636;-4,083974;2434,429932;1;-84,859093;-4,004929;2379,706299;1
1,241000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,274719;-33,465614;2436,060303;1;-62,991501;-22,270418;2433,283936;1;-97,437912;-4,113872;2436,090088;1;-89,246483;-4,192585;2493,512695;1;-84,870850;-4,003373;2379,691650;1;-76,584412;-4,077680;2434,456299;1
1,276000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,272301;-33,467075;2436,073486;1;-62,998375;-22,274061;2433,245361;1;-97,433342;-4,111979;2436,060547;1;-89,243301;-4,196540;2493,471924;1;-84,864532;-4,008235;2379,654541;1;-76,579498;-4,088406;2434,407959;1
1,310000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,273476;-33,471317;2436,050781;1;-63,000824;-22,277548;2433,277344;1;-97,439011;-4,111039;2436,138428;1;-89,255081;-4,202752;2493,509521;1;-84,860115;-3,998680;2379,685791;1;-76,581177;-4,085637;2434,398926;1
1,345000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,270950;-33,469841;2436,076660;1;-62,991371;-22,277292;2433,281006;1;-97,431404;-4,113957;2436,081299;1;-89,242203;-4,200555;2493,487061;1;-84,863930;-4,002679;2379,680664;1;-76,579742;-4,084666;2434,428955;1
1,379000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,269119;-33,467487;2436,055420;1;-62,995647;-22,268999;2433,273682;1;-89,253250;-4,187817;2493,507568;1;-97,444458;-4,098406;2436,085693;1;-76,580231;-4,084065;2434,400879;1;-84,866531;-3,999060;2379,639160;1
1,414000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,277069;-33,468395;2436,087891;1;-62,998238;-22,271881;2433,294189;1;-89,250244;-4,197329;2493,501709;1;-97,441032;-4,109086;2436,083496;1;-76,585945;-4,086916;2434,435547;1;-84,871750;-4,003200;2379,675537;1
1,448000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,277512;-33,464520;2436,076416;1;-62,998055;-22,269888;2433,256104;1;-89,249115;-4,196930;2493,486328;1;-97,432495;-4,117262;2436,120605;1;-76,585236;-4,079354;2434,422363;1;-84,863541;-4,004173;2379,712158;1
1,483000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,277245;-33,466442;2436,095215;1;-62,996605;-22,273840;2433,261230;1;-97,438606;-4,110592;2436,116943;1;-89,248512;-4,199964;2493,530762;1;-84,866028;-4,002647;2379,693115;1;-76,580902;-4,087417;2434,448242;1
1,517000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,266891;-33,462040;2436,051758;1;-62,994877;-22,277021;2433,288818;1;-97,437981;-4,104766;2436,106689;1;-89,250832;-4,196848;2493,499512;1;-84,869217;-3,996183;2379,700195;1;-76,587097;-4,083587;2434,436035;1
