;brouette;;;;;;;Cibles non appariées - Cible 1;;;;Cibles non appariées - Cible 2;;;;Cibles non appariées - Cible 3;;;;Cibles non appariées - Cible 4;;;
;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected
1,828000;-219,880066;228,819061;2280,694580;-0,344584;29,422638;-6,030545;1;-210,742645;244,310135;2275,960205;1;0;0;0;0;0;0;0;0;0;0;0;0
1,862000;-219,890808;228,819916;2280,732910;-0,261814;29,380192;-5,986867;1;-210,743484;244,295944;2275,992676;1;0;0;0;0;0;0;0;0;0;0;0;0
1,897000;-219,887054;228,815796;2280,702637;-0,254925;29,365046;-5,995730;1;-210,743423;244,309479;2275,988037;1;0;0;0;0;0;0;0;0;0;0;0;0
1,931000;-219,884842;228,818497;2280,703857;-0,294045;29,296806;-5,989433;1;-210,739334;244,306442;2275,968018;1;0;0;0;0;0;0;0;0;0;0;0;0
1,966000;-219,882462;228,815948;2280,683105;-0,291618;29,332216;-6,003215;1;-210,745010;244,300385;2275,999756;1;0;0;0;0;0;0;0;0;0;0;0;0
2,000000;-219,879959;228,815201;2280,685547;-0,277371;29,377285;-5,993757;1;-210,744278;244,311508;2276,008057;1;0;0;0;0;0;0;0;0;0;0;0;0
2,034000;-219,878265;228,817825;2280,696045;-0,274590;29,421207;-5,995945;1;-210,737457;244,303955;2275,980469;1;0;0;0;0;0;0;0;0;0;0;0;0
2,069000;-219,883835;228,818970;2280,719238;-0,220777;29,412437;-5,974958;1;-210,738632;244,314758;2275,980469;1;0;0;0;0;0;0;0;0;0;0;0;0
2,103000;-219,884659;228,819687;2280,706055;-0,308811;29,344156;-5,999074;1;-210,740921;244,313721;2275,997070;1;0;0;0;0;0;0;0;0;0;0;0;0
2,138000;-219,881561;228,811035;2280,692627;-0,304452;29,354919;-6,009311;1;-210,741287;244,310410;2275,981934;1;0;0;0;0;0;0;0;0;0;0;0;0
2,172000;-219,876266;228,813385;2280,689697;-0,253597;29,354200;-5,987867;1;-210,728897;244,311569;2276,006592;1;0;0;0;0;0;0;0;0;0;0;0;0
2,207000;-219,880707;228,816315;2280,697266;-0,264205;29,356712;-5,997471;1;-210,735184;244,308640;2275,963623;1;0;0;0;0;0;0;0;0;0;0;0;0
2,241000;-219,882584;228,810577;2280,699707;-0,149663;29,331694;-5,956997;1;-210,739685;244,307892;2275,981445;1;0;0;0;0;0;0;0;0;0;0;0;0
2,276000;-219,882156;228,819962;2280,717529;-0,224377;29,393576;-5,991360;1;-210,736221;244,304199;2275,971436;1;0;0;0;0;0;0;0;0;0;0;0;0
2,310000;-219,883545;228,819168;2280,714600;-0,277897;29,337889;-5,988358;1;-210,740356;244,313324;2275,995117;1;0;0;0;0;0;0;0;0;0;0;0;0
2,345000;-219,881851;228,818726;2280,697998;-0,251391;29,348070;-5,989193;1;-210,745071;244,307098;2275,997070;1;0;0;0;0;0;0;0;0;0;0;0;0
2,379000;-219,882767;228,817017;2280,704834;-0,258197;29,377821;-5,993981;1;-210,740952;244,313110;2275,971924;1;0;0;0;0;0;0;0;0;0;0;0;0
2,414000;-219,879807;228,821014;2280,701660;-0,245727;29,359585;-5,995041;1;-210,733109;244,308060;2275,973389;1;0;0;0;0;0;0;0;0;0;0;0;0
2,448000;-219,884720;228,816757;2280,707520;-0,276054;29,350750;-5,995578;1;-210,737671;244,311157;2275,998779;1;0;0;0;0;0;0;0;0;0;0;0;0
2,483000;-219,874939;228,816864;2280,696777;-0,288923;29,341461;-6,000090;1;-210,742294;244,305435;2275,980957;1;0;0;0;0;0;0;0;0;0;0;0;0
2,517000;-219,879456;228,814819;2280,684082;-0,248144;29,365671;-5,979369;1;-210,739532;244,318161;2276,011230;1;0;0;0;0;0;0;0;0;0;0;0;0
2,552000;-219,880249;228,821747;2280,709961;-0,193869;29,367266;-5,966922;1;-210,736481;244,308456;2275,973389;1;0;0;0;0;0;0;0;0;0;0;0;0
2,586000;-219,886536;228,818787;2280,704346;-0,264128;29,358158;-6,000987;1;-210,743851;244,311722;2276,004883;1;0;0;0;0;0;0;0;0;0;0;0;0
2,621000;-219,883621;228,822464;2280,705078;-0,292694;29,361279;-5,994833;1;-210,744095;244,307388;2275,964111;1;0;0;0;0;0;0;0;0;0;0;0;0
2,655000;-219,880463;228,824219;2280,697266;-0,251124;29,348969;-5,985725;1;-210,747391;244,306549;2275,998291;1;0;0;0;0;0;0;0;0;0;0;0;0
2,690000;-219,880829;228,816254;2280,698486;-0,319430;29,364216;-5,987113;1;-210,741379;244,302948;2276,004395;1;0;0;0;0;0;0;0;0;0;0;0;0
2,724000;-219,884140;228,813614;2280,693359;-0,263354;29,388187;-5,984302;1;-210,740875;244,308685;2275,995605;1;0;0;0;0;0;0;0;0;0;0;0;0
2,759000;-219,883636;228,816391;2280,697754;-0,270821;29,357363;-5,979738;1;-210,736435;244,303757;2275,992188;1;0;0;0;0;0;0;0;0;0;0;0;0
2,793000;-219,882858;228,819305;2280,702637;-0,264228;29,358042;-5,991342;1;-210,742950;244,319016;2276,011719;1;0;0;0;0;0;0;0;0;0;0;0;0
2,828000;-219,879150;228,819275;2280,712646;-0,269090;29,354883;-5,992603;1;-210,740402;244,310654;2276,008301;1;0;0;0;0;0;0;0;0;0;0;0;0
2,862000;-219,880234;228,814926;2280,706055;-0,256466;29,352943;-5,989172;1;-210,742661;244,308884;2276,010986;1;0;0;0;0;0;0;0;0;0;0;0;0
2,897000;-219,882141;228,818085;2280,689941;-0,253339;29,355446;-5,983665;1;-210,736877;244,301163;2275,986572;1;0;0;0;0;0;0;0;0;0;0;0;0
2,931000;-219,885666;228,817276;2280,718750;-0,208303;29,353502;-5,967677;1;-210,733353;244,303757;2275,952148;1;0;0;0;0;0;0;0;0;0;0;0;0
2,966000;-219,884430;228,813660;2280,697510;-0,164614;29,344309;-5,965049;1;-210,743240;244,309174;2276,008301;1;0;0;0;0;0;0;0;0;0;0;0;0
3,000000;-219,881531;228,818466;2280,719238;-0,202740;29,387182;-5,970838;1;-210,738754;244,313309;2276,009521;1;0;0;0;0;0;0;0;0;0;0;0;0
3,034000;-219,878204;228,814087;2280,708008;-0,238321;29,358974;-5,987279;1;-210,742172;244,305649;2276,005859;1;0;0;0;0;0;0;0;0;0;0;0;0
3,069000;-219,884491;228,814972;2280,700195;-0,333625;29,413055;-6,017681;1;-210,737518;244,300552;2275,953613;1;0;0;0;0;0;0;0;0;0;0;0;0
3,103000;-219,883255;228,815247;2280,706787;-0,236349;29,358128;-5,985791;1;-210,737671;244,311920;2276,005127;1;0;0;0;0;0;0;0;0;0;0;0;0
3,138000;-219,885941;228,815125;2280,699707;-0,288861;29,354883;-6,004161;1;-210,737213;244,308380;2276,016602;1;0;0;0;0;0;0;0;0;0;0;0;0
3,172000;-219,878983;228,814255;2280,689453;-0,228098;29,359783;-5,982758;1;-210,743591;244,313339;2275,993652;1;0;0;0;0;0;0;0;0;0;0;0;0
3,207000;-219,881989;228,817581;2280,700195;-0,222035;29,424120;-5,986079;1;-210,742599;244,316284;2275,989990;1;0;0;0;0;0;0;0;0;0;0;0;0
3,241000;-219,876816;228,816818;2280,681885;-0,289498;29,321783;-5,990060;1;-210,739151;244,306259;2275,990479;1;0;0;0;0;0;0;0;0;0;0;0;0
3,276000;-219,881195;228,810944;2280,685059;-0,285275;29,365128;-6,004949;1;-210,741547;244,304718;2275,998535;1;0;0;0;0;0;0;0;0;0;0;0;0
3,310000;-219,882538;228,820206;2280,706787;-0,239222;29,378109;-5,990834;1;-210,734009;244,305511;2275,956787;1;0;0;0;0;0;0;0;0;0;0;0;0
3,345000;-219,878876;228,818008;2280,692383;-0,220646;29,377655;-5,977302;1;-210,738647;244,307083;2275,973145;1;0;0;0;0;0;0;0;0;0;0;0;0
3,379000;-219,881668;228,814728;2280,696289;-0,334654;29,320080;-6,002460;1;-210,738998;244,313599;2275,975342;1;0;0;0;0;0;0;0;0;0;0;0;0
3,414000;-219,882736;228,817245;2280,703857;-0,232833;29,353579;-5,993522;1;-210,737640;244,309296;2276,014893;1;0;0;0;0;0;0;0;0;0;0;0;0
3,448000;-219,883347;228,818390;2280,702393;-0,271412;29,333416;-5,980723;1;-210,737244;244,304840;2275,992676;1;0;0;0;0;0;0;0;0;0;0;0;0
3,483000;-219,880981;228,819809;2280,712158;-0,410932;29,395905;-6,027386;1;-210,745468;244,306290;2275,959717;1;0;0;0;0;0;0;0;0;0;0;0;0
3,517000;-219,885498;228,820450;2280,721436;-0,283701;29,419567;-6,000413;1;-210,742508;244,306412;2276,022461;1;0;0;0;0;0;0;0;0;0;0;0;0
3,552000;-219,882355;228,816559;2280,693848;-0,305633;29,404682;-6,005615;1;-210,743896;244,317337;2276,014893;1;0;0;0;0;0;0;0;0;0;0;0;0
3,586000;-219,881180;228,820007;2280,717041;-0,293568;29,359890;-5,994723;1;-210,733337;244,310654;2276,000488;1;0;0;0;0;0;0;0;0;0;0;0;0
3,621000;-219,883896;228,818741;2280,726318;-0,268819;29,379711;-6,001559;1;-210,740143;244,308182;2276,005127;1;0;0;0;0;0;0;0;0;0;0;0;0
3,655000;-219,882721;228,820557;2280,708984;-0,255499;29,324720;-5,984217;1;-210,740402;244,309067;2275,991699;1;0;0;0;0;0;0;0;0;0;0;0;0
3,690000;-219,882095;228,817352;2280,695801;-0,295870;29,404278;-6,002787;1;-210,742325;244,319763;2276,008057;1;0;0;0;0;0;0;0;0;0;0;0;0
3,724000;-219,881073;228,814331;2280,690430;-0,209353;29,393654;-5,968688;1;-210,743515;244,302475;2275,977295;1;0;0;0;0;0;0;0;0;0;0;0;0
3,759000;-219,883240;228,816025;2280,704102;-0,256064;29,314400;-5,992470;1;-210,741196;244,306610;2275,998779;1;0;0;0;0;0;0;0;0;0;0;0;0
3,793000;-219,883591;228,823090;2280,726318;-0,374098;29,403196;-6,015110;1;-210,744171;244,314331;2275,970947;1;0;0;0;0;0;0;0;0;0;0;0;0
3,828000;-219,884155;228,810928;2280,689697;-0,200783;29,333403;-5,970593;1;-210,737793;244,315323;2276,004395;1;0;0;0;0;0;0;0;0;0;0;0;0
3,862000;-219,882431;228,821274;2280,708008;-0,225626;29,342987;-5,979492;1;-210,746613;244,312225;2276,008301;1;0;0;0;0;0;0;0;0;0;0;0;0
3,897000;-219,883850;228,821182;2280,719727;-0,247775;29,392349;-5,988972;1;-210,738174;244,309280;2275,964111;1;0;0;0;0;0;0;0;0;0;0;0;0
3,931000;-219,882690;228,821533;2280,711426;-0,266448;29,426918;-5,995724;1;-210,741257;244,307419;2276,001221;1;0;0;0;0;0;0;0;0;0;0;0;0
3,966000;-219,881104;228,809753;2280,686279;-0,273952;29,365763;-5,990710;1;-210,735107;244,309891;2275,961670;1;0;0;0;0;0;0;0;0;0;0;0;0
4,000000;-219,880066;228,817688;2280,698975;-0,237569;29,363939;-5,983921;1;-210,735489;244,305359;2275,963623;1;0;0;0;0;0;0;0;0;0;0;0;0
4,034000;-219,872314;228,820114;2280,672852;-0,270087;29,326591;-5,980649;1;-210,737335;244,316940;2276,037354;1;0;0;0;0;0;0;0;0;0;0;0;0
4,069000;-219,849533;228,842148;2280,701416;-0,310310;29,347099;-5,987838;1;-210,713043;244,331482;2275,993408;1;0;0;0;0;0;0;0;0;0;0;0;0
4,103000;-219,801437;228,931747;2280,701416;-0,258067;29,323635;-5,977010;1;-210,663223;244,432617;2276,023926;1;0;0;0;0;0;0;0;0;0;0;0;0
4,138000;-219,607361;229,077087;2280,769531;-0,284424;29,422844;-6,004156;1;-210,472458;244,576981;2276,054443;1;0;0;0;0;0;0;0;0;0;0;0;0
4,172000;-219,391251;229,065674;2281,073242;-0,248965;29,380857;-5,995568;1;-210,253998;244,563904;2276,362305;1;0;0;0;0;0;0;0;0;0;0;0;0
4,207000;-219,108093;228,982727;2281,711426;-0,315247;29,331947;-6,009481;1;-209,964523;244,466919;2276,971436;1;0;0;0;0;0;0;0;0;0;0;0;0
4,241000;-218,843628;228,899384;2282,335938;-0,243009;29,360186;-5,997057;1;-209,698135;244,392014;2277,597412;1;0;0;0;0;0;0;0;0;0;0;0;0
4,276000;-218,430420;228,893021;2282,696777;-0,229863;29,424482;-5,991706;1;-209,300232;244,387253;2277,976563;1;0;0;0;0;0;0;0;0;0;0;0;0
4,310000;-218,101852;228,837631;2283,121338;-0,203364;29,320011;-5,981080;1;-208,969635;244,321198;2278,408447;1;0;0;0;0;0;0;0;0;0;0;0;0
4,345000;-217,788132;228,772064;2283,736084;-0,273948;29,312798;-5,998601;1;-208,654388;244,267807;2279,023926;1;0;0;0;0;0;0;0;0;0;0;0;0
4,379000;-217,447220;228,793472;2284,378906;-0,183325;29,378399;-5,980980;1;-208,302811;244,276596;2279,661377;1;0;0;0;0;0;0;0;0;0;0;0;0
4,414000;-217,155289;228,752029;2284,907227;-0,296099;29,410194;-6,011388;1;-208,013885;244,240341;2280,200928;1;0;0;0;0;0;0;0;0;0;0;0;0
4,448000;-216,770889;228,730850;2285,304932;-0,253499;29,431555;-6,004146;1;-207,641953;244,227203;2280,632568;1;0;0;0;0;0;0;0;0;0;0;0;0
4,483000;-216,428467;228,701385;2285,823730;-0,295370;29,401075;-6,018975;1;-207,290222;244,200790;2281,155762;1;0;0;0;0;0;0;0;0;0;0;0;0
4,517000;-216,123199;228,655273;2286,399414;-0,377426;29,411850;-6,038771;1;-206,989639;244,147736;2281,668701;1;0;0;0;0;0;0;0;0;0;0;0;0
4,552000;-215,775970;228,666183;2286,939941;-0,255018;29,423203;-6,008857;1;-206,637833;244,161865;2282,236572;1;0;0;0;0;0;0;0;0;0;0;0;0
4,586000;-215,431412;228,641861;2287,444092;-0,281965;29,444942;-6,014379;1;-206,289246;244,136246;2282,702148;1;0;0;0;0;0;0;0;0;0;0;0;0
4,621000;-215,112350;228,594772;2287,906738;-0,262795;29,413704;-6,016740;1;-205,977264;244,096375;2283,164795;1;0;0;0;0;0;0;0;0;0;0;0;0
4,655000;-214,753738;228,566788;2288,426270;-0,270245;29,393576;-6,024378;1;-205,606247;244,062332;2283,656006;1;0;0;0;0;0;0;0;0;0;0;0;0
4,690000;-214,428757;228,549072;2289,002686;-0,249420;29,464285;-6,007668;1;-205,289444;244,041458;2284,254150;1;0;0;0;0;0;0;0;0;0;0;0;0
4,724000;-214,492844;228,344452;2289,181396;-0,287545;29,381599;-6,007312;1;-205,351257;243,838776;2284,440918;1;0;0;0;0;0;0;0;0;0;0;0;0
4,759000;-214,225998;228,579239;2288,940918;-0,261733;29,423693;-6,022017;1;-205,082764;244,073639;2284,229736;1;0;0;0;0;0;0;0;0;0;0;0;0
4,793000;-214,286758;228,599686;2289,227295;-0,272187;29,386845;-6,014046;1;-205,147995;244,102051;2284,509277;1;0;0;0;0;0;0;0;0;0;0;0;0
4,828000;-214,353653;228,461746;2289,199463;-0,241051;29,431149;-6,001740;1;-205,212189;243,957596;2284,474609;1;0;0;0;0;0;0;0;0;0;0;0;0
4,862000;-214,293716;228,558014;2289,271729;-0,227502;29,498850;-6,013290;1;-205,142868;244,044785;2284,486572;1;0;0;0;0;0;0;0;0;0;0;0;0
4,897000;-214,240555;228,595856;2289,071777;-0,246805;29,451687;-6,002869;1;-205,101196;244,083893;2284,310303;1;0;0;0;0;0;0;0;0;0;0;0;0
4,931000;-214,350006;228,466522;2289,196777;-0,297345;29,375444;-6,019047;1;-205,201065;243,955170;2284,401611;1;0;0;0;0;0;0;0;0;0;0;0;0
4,966000;-214,253525;228,579376;2289,232666;-0,211310;29,410131;-5,998539;1;-205,112350;244,063385;2284,511963;1;0;0;0;0;0;0;0;0;0;0;0;0
5,000000;-214,312637;228,568634;2289,238281;-0,262568;29,481186;-6,022890;1;-205,164078;244,056656;2284,467041;1;0;0;0;0;0;0;0;0;0;0;0;0
5,034000;-214,337219;228,463181;2289,108887;-0,303770;29,457701;-6,014821;1;-205,191925;243,957016;2284,373047;1;0;0;0;0;0;0;0;0;0;0;0;0
5,069000;-214,400009;228,440430;2289,175049;-0,299649;29,426392;-6,009662;1;-205,256622;243,927277;2284,436768;1;0;0;0;0;0;0;0;0;0;0;0;0
5,103000;-214,626770;228,301041;2289,122559;-0,253623;29,357803;-5,993355;1;-205,482590;243,795013;2284,397949;1;0;0;0;0;0;0;0;0;0;0;0;0
5,138000;-214,838150;228,051849;2288,708008;-0,215076;29,390659;-5,975539;1;-205,703247;243,559174;2284,022705;1;0;0;0;0;0;0;0;0;0;0;0;0
5,172000;-215,151672;228,044327;2288,052734;-0,255108;29,504372;-5,982768;1;-206,020416;243,542236;2283,335938;1;0;0;0;0;0;0;0;0;0;0;0;0
5,207000;-215,429276;228,305649;2287,488525;-0,103994;29,396315;-5,938936;1;-206,289032;243,802963;2282,813232;1;0;0;0;0;0;0;0;0;0;0;0;0
5,241000;-215,808685;228,336212;2287,220947;-0,200436;29,393620;-5,962196;1;-206,673767;243,834717;2282,504395;1;0;0;0;0;0;0;0;0;0;0;0;0
5,276000;-216,162231;228,250946;2286,711670;-0,350179;29,392603;-6,007237;1;-207,034302;243,745834;2282,007080;1;0;0;0;0;0;0;0;0;0;0;0;0
5,310000;-216,465271;228,343964;2286,109131;-0,266622;29,391359;-5,991770;1;-207,328827;243,840302;2281,400391;1;0;0;0;0;0;0;0;0;0;0;0;0
5,345000;-216,749878;228,476898;2285,418213;-0,222150;29,402397;-5,989150;1;-207,609604;243,973175;2280,683594;1;0;0;0;0;0;0;0;0;0;0;0;0
5,379000;-217,145874;228,428085;2285,005859;-0,275697;29,447374;-5,981770;1;-208,003326;243,918854;2280,294189;1;0;0;0;0;0;0;0;0;0;0;0;0
5,414000;-217,469742;228,450455;2284,588135;-0,299759;29,401783;-6,014157;1;-208,322418;243,959000;2279,874268;1;0;0;0;0;0;0;0;0;0;0;0;0
5,448000;-217,809738;228,503159;2284,051514;-0,203919;29,347759;-5,971599;1;-208,677094;244,008591;2279,322021;1;0;0;0;0;0;0;0;0;0;0;0;0
5,483000;-218,116379;228,562485;2283,437988;-0,164685;29,385239;-5,967316;1;-208,979568;244,057587;2278,696045;1;0;0;0;0;0;0;0;0;0;0;0;0
5,517000;-218,451370;228,546967;2282,890381;-0,190931;29,446348;-5,972212;1;-209,309631;244,040176;2278,187256;1;0;0;0;0;0;0;0;0;0;0;0;0
